epoch,frame,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,loss,walltime,memory
0,0,3.3639588356018066,23.727317810058594,0.0,0.0,0.0,0.0,574.3018188476562,3.3894386291503906,544.25
10,1,1.5714256763458252,10.79037094116211,0.5864378213882446,0.6554924249649048,0.2670578360557556,0.2525619566440582,119.81016540527344,4.650190114974976,626.28515625
20,1,0.7036892771720886,3.926811933517456,0.3337005376815796,0.36580339074134827,0.19446119666099548,0.19070778787136078,16.23438262939453,5.189020395278931,626.41015625
30,1,0.6727004051208496,3.2989938259124756,0.20927377045154572,0.22123639285564423,0.14127787947654724,0.1307557076215744,11.465683937072754,5.652333974838257,626.53515625
40,1,0.4649865925312042,2.048957586288452,0.16584181785583496,0.15233011543750763,0.11456231027841568,0.09678908437490463,4.487639904022217,6.138057231903076,626.53515625
50,1,0.33052510023117065,1.1211539506912231,0.1236841231584549,0.12837596237659454,0.08797900378704071,0.07103948295116425,1.4107980728149414,6.628011465072632,626.53515625
60,1,0.2716866433620453,0.6434919238090515,0.10878954827785492,0.11278612166643143,0.06357987970113754,0.04317271709442139,0.5183576345443726,7.125108480453491,626.53515625
70,1,0.22666068375110626,0.4496511220932007,0.1084541454911232,0.10316165536642075,0.058417435735464096,0.03289986774325371,0.28046080470085144,7.6426842212677,626.53515625
80,1,0.20334701240062714,0.23970648646354675,0.10621079802513123,0.09986376762390137,0.05817588418722153,0.03106861561536789,0.1244124099612236,8.126309394836426,626.53515625
90,1,0.18633854389190674,0.13763190805912018,0.10485073924064636,0.09950311481952667,0.05945722386240959,0.029414180666208267,0.07895948737859726,8.595736503601074,626.53515625
100,1,0.17469124495983124,0.09843392670154572,0.10199455171823502,0.10013056546449661,0.059677526354789734,0.02860156074166298,0.06501474231481552,9.088561296463013,626.53515625
110,2,0.16621947288513184,0.04438411816954613,0.10124921798706055,0.10348880290985107,0.059886541217565536,0.030110418796539307,0.0550532341003418,9.556390285491943,650.86328125
120,2,0.16058270633220673,0.036964379251003265,0.10343971848487854,0.10673874616622925,0.0605989508330822,0.031593747437000275,0.05391650274395943,10.035277605056763,650.86328125
130,2,0.15571103990077972,0.017375601455569267,0.10565235465765,0.10728315263986588,0.06215877830982208,0.03192713111639023,0.052102990448474884,10.517054557800293,650.86328125
